16892,12518,12582,11564,13268,11652,11776,12290,
544,524,530,526,524,526,538,892,
524,532,528,534,528,530,530,892,
532,524,530,532,532,524,530,892,
536,530,526,530,534,528,522,892,
526,528,528,522,526,526,520,876,
530,536,524,526,530,530,524,888,
532,530,526,528,532,530,538,892,
524,520,534,530,522,526,530,902,
534,528,526,528,530,528,530,892,
536,524,524,530,534,530,524,888,
530,534,528,522,536,532,532,882,
526,530,534,530,522,528,524,892,
524,528,526,522,532,528,534,894,
528,530,526,542,528,526,940,892,
528,522,528,530,528,522,528,888,
532,530,526,532,528,530,528,888,
530,528,530,528,524,530,528,880,
524,532,538,528,524,532,530,892,
528,528,534,528,532,524,532,896,
526,520,532,530,530,524,528,898,
528,524,526,520,524,528,524,878,
528,538,530,528,520,538,530,886,
532,532,534,524,530,534,528,888,
522,526,530,528,528,532,528,898,
532,528,530,532,530,524,530,892,
538,530,528,524,540,528,522,882,
530,530,524,528,534,528,524,892,
524,530,532,528,522,530,538,888,
526,528,534,528,524,524,530,888,
532,530,526,532,528,530,524,898,
530,528,528,534,528,522,528,892,
524,526,526,528,528,524,522,880,
530,526,530,524,528,532,652,880,
526,530,538,530,524,530,534,890,
530,526,528,526,528,526,534,888,
530,522,528,538,532,522,526,896,
520,522,524,520,528,520,526,876,
524,538,534,520,522,538,532,882,
528,534,536,522,534,528,526,884,
526,530,528,530,524,528,530,900,
528,530,528,530,526,522,532,892,
538,534,520,528,540,526,526,880,
538,532,522,526,530,532,524,888,
522,532,528,524,524,538,538,886,
528,532,536,524,524,526,528,888,
530,526,528,534,530,532,524,902,
534,520,530,532,526,526,524,892,
524,530,524,520,526,524,520,880,
532,530,528,522,524,528,530,882,
528,530,538,532,520,530,536,892,
532,524,530,534,528,524,536,890,
530,528,528,532,528,526,690,892,
524,528,524,518,524,524,522,878,
532,532,522,528,524,530,528,890,
528,530,532,530,526,530,532,884,
524,522,538,536,524,524,532,902,
528,528,534,528,532,528,532,888,
532,530,520,530,536,524,524,888,
532,534,528,524,530,538,526,882,
520,534,536,530,528,528,530,892,
524,522,532,526,526,530,538,888,
530,526,526,542,528,530,520,900,
534,526,524,528,532,524,526,892,
526,532,524,528,526,522,520,882,
528,532,528,522,524,530,534,882,
528,530,538,532,520,530,536,892,
532,520,530,532,530,522,536,890,
524,524,530,534,528,524,532,898,
522,524,526,516,524,522,522,874,
524,538,528,522,524,538,526,884,
530,530,538,524,528,530,532,888,
528,526,528,532,524,530,532,896,
530,532,528,530,528,524,526,894,
538,528,522,524,542,532,528,884,
534,528,524,532,532,526,520,892,
524,526,530,534,524,532,530,888,
530,526,538,534,520,522,528,888,
526,528,524,532,526,528,528,894,
532,528,520,534,532,528,520,884,
524,526,530,532,532,534,524,890,
528,526,530,524,528,530,528,878,
524,532,530,528,530,528,1100,894,
528,522,528,530,526,520,538,892,
532,522,526,530,532,524,530,900,
524,526,524,520,528,524,520,876,
528,538,530,524,522,538,530,880,
526,530,534,526,530,528,530,888,
528,528,524,526,528,526,528,900,
526,528,524,528,530,524,530,894,
538,530,524,528,538,530,528,882,
530,532,524,530,538,528,528,884,
524,530,526,528,524,534,534,888,
534,528,534,528,528,520,524,890,
528,530,524,538,526,530,526,900,
530,524,530,534,530,528,528,890,
528,528,524,524,530,526,520,888,
532,528,524,524,528,526,530,886,
532,528,540,528,524,528,534,888,
528,524,526,530,534,524,532,892,
528,526,534,536,526,520,530,894,
526,520,528,522,528,526,758,882,
526,542,528,528,520,538,528,884,
532,530,538,524,528,530,528,886,
524,526,530,532,526,530,528,898,
530,528,530,534,528,524,528,892,
542,528,528,524,534,528,524,888,
530,530,524,528,530,526,528,888,
524,528,532,532,522,534,532,884,
524,526,538,532,528,526,530,888,
534,528,522,536,532,528,524,898,
528,528,528,532,528,524,532,894,
528,526,528,528,528,524,522,886,
530,526,530,524,526,532,528,884,
530,528,538,526,522,528,538,892,
526,522,532,528,524,524,538,892,
534,524,524,534,530,526,528,900,
524,524,528,520,526,524,524,876,
520,538,530,524,524,540,528,880,
526,530,532,524,530,532,528,892,
528,532,530,526,520,524,678,896,
528,530,528,524,526,522,528,890,
542,532,528,528,540,526,528,880,
534,528,522,526,530,532,526,886,
522,528,530,526,520,538,536,888,
530,532,536,526,526,524,528,884,
524,526,526,534,530,528,522,898,
532,528,534,538,526,528,526,892,
526,532,524,528,526,522,520,882,
528,532,528,522,524,530,534,882,
528,530,538,532,520,530,536,892,
532,520,530,532,530,522,536,890,
524,524,530,534,528,524,532,898,
522,524,526,516,524,522,522,874,
524,538,528,522,524,538,526,884,
530,530,538,524,528,530,532,888,
528,526,528,532,524,530,532,896,
530,532,528,530,528,524,526,894,
538,528,522,524,542,532,528,884,
534,528,524,532,532,526,644,888,
524,530,534,528,524,536,532,888,
532,528,534,528,524,524,530,884,
528,530,524,530,528,530,524,890,
530,524,526,534,530,524,526,888,
528,530,532,528,530,534,528,890,
524,528,530,520,530,526,530,878,
524,530,530,530,526,528,538,890,
530,524,530,532,532,528,526,894,
532,524,524,532,534,528,524,892,
524,528,524,518,524,524,522,878,
532,532,522,528,524,530,528,890,
528,530,532,530,526,530,532,884,
524,522,538,536,524,524,532,902,
528,528,534,528,532,528,532,888,
532,530,520,530,536,524,524,888,
532,534,528,524,530,538,526,882,
520,534,536,530,528,528,530,892,
524,522,532,526,526,530,538,888,
530,526,526,542,528,530,668,904,
530,524,528,534,528,528,528,892,
522,532,528,524,528,522,518,884,
530,532,530,526,520,526,528,884,
532,526,534,528,524,526,532,888,
528,526,526,530,530,524,534,894,
528,528,530,536,524,524,530,894,
522,520,522,524,520,522,524,882,
522,538,530,526,528,538,530,884,
534,536,534,520,530,526,530,888,
524,528,530,532,522,530,528,892,
530,528,530,526,530,524,530,896,
538,530,526,520,538,530,524,882,
536,524,524,530,534,528,524,888,
524,530,534,528,524,536,532,888,
532,528,534,528,524,524,530,884,
526,530,524,534,532,530,528,906,
